well,initial_rate
00bbac68,0.028739495798335225
015fe0d2,-0.037815126050420166
028d7b28,-0.034033613445372035
0498acab,-0.0226890756302735
060ab2b8,0.02966386554622399
084d66f9,-0.027478991596627037
0955cd6c,-0.011596638655470745
0be01c24,-0.033865546218477614
14ab73fb,0.018655462184868448
1550491d,0.05277310924370298
1590af81,0.052016806722693355
177622d7,0.02705882352940626
200d233d,-0.03126050420169046
23b9beb0,-0.020336134453782125
2acc78d4,-0.035042016806708015
2be5c96a,-0.03865546218486172
3ef98781,0.024705882352945456
404c4384,0.04268907563025149
44441e54,-0.0350420168067233
47ee27ab,0.03428571428571368
49dbc14c,-0.03848739495799787
4f69febf,0.01957983193275721
5b7b6324,0.028487394957993586
5d7198fd,0.02781512605041589
5eae34a8,-0.03084033613445439
5f4d2a52,0.028487394957978304
5f6756c5,0.016302521008392357
633774dc,0.02302521008403178
63559d57,-0.05378151260503896
69e41fa6,-0.015210084033624451
70e1788b,0.02596638655462307
76201745,-0.035462184873959364
7993a768,0.028235294117667235
7b2c7b3c,0.026554621848722988
82aab6d2,0.034957983193291374
87695469,0.041848739495779365
87aa3730,-0.02168067226890695
89f1085d,0.07100840336135066
8a89da23,-0.017142857142849195
8a9c8932,0.04109243697478503
8ac2f237,0.03873949579830893
8cc21f01,-0.02941176470589764
9426ec1e,-0.01285714285714836
97cd5bf9,0.03420168067228175
98bc6f66,0.03714285714284247
9a6b0392,-0.0278991596638631
9bd2bba3,0.04327731092438197
a15bc102,0.03697478991597861
a247e7cf,-0.03058823529409747
a5e6f7dc,-0.026890756302527123
a6ed2eff,0.02378151260505669
ab6fe95d,0.03210084033613965
ac6f01d5,-0.01655462184873399
add9c322,0.03764705882354103
aff4e561,0.030924369747901605
b1efb8a4,0.02949579831934485
b95e7121,-0.06731092436974974
bb2cdd83,0.05294117647059741
c03b9305,0.0462184873949427
c07fd0cd,-0.03596638655461207
c50b42f6,-0.015630252100829942
c70c0e01,-0.0313445378151071
cb879f40,0.04126050420167945
cdc60a53,0.024285714285709394
d00e7eb9,-0.009999999999988995
d217e0c5,-0.03663865546217448
d41beaf2,0.04781512605042445
d7ba4f9d,-0.0331932773109152
d7eb0be8,0.04789915966387166
dd7d638e,0.018991596638657297
df73b8f3,-0.0297478991596712
e5ff9fd2,0.02327731092435813
e737965a,0.036806722689068906
ebe69318,-0.021932773109233302
ee288beb,-0.06638655462184569
efde6ac3,-0.04352941176469304
f439a621,0.05016806722690054
f6bc699b,-0.034621848739502525
f72b268f,-0.047058823529414824
fdfd57da,-0.038067226890731234
